date,book,chapter_slug,word_count,sources_count,verify_flag_count,pantry_notes_found,pantry_lib_files_used,thin_pantry,mechanism_explained,contested_claims_flagged
2026-06-08,cancer-research,01-cancer-screening-finding-it-early-enough-to-cure,2582,8,2,yes,0,no,"A screening tests PPV is governed by prevalence; survival can rise from lead-time, length, and overdiagnosis bias without lives saved.",2
2026-06-08,cancer-research,02-cancer-diagnosis-imaging-and-the-tissue-sample,2563,6,1,yes,0,no,"Imaging assigns a probability; tissue is ground truth, but a negative biopsy only excludes cancer to the extent the needle sampled the lesion.",1
2026-06-08,cancer-research,03-molecular-diagnostics-staging-and-the-liquid-biopsy,2590,6,0,yes,0,no,"A molecular result is actionable only when it clears analytic validity, clinical validity, AND decision-specific clinical utility.",3
2026-06-08,cancer-research,04-principles-of-cancer-therapy-goals-and-modalities,2546,7,0,yes,0,no,"Treatment intent governs which endpoint counts; surrogate endpoints (ORR, PFS) can improve while overall survival and QoL do not.",2
2026-06-08,cancer-research,05-precision-oncology-matching-therapy-to-tumor,2632,7,4,yes,0,no,"A biomarker match is a hypothesis about response, scored only by the response; matched and responded are distinct measurements.",2
2026-06-08,cancer-research,06-surgical-oncology-principles-of-cancer-surgery,2458,6,1,yes,0,no,"Surgery cures localized cancer by removal; margin and sentinel-node status are inferences about residual disease from sampled tissue.",1
2026-06-08,cancer-research,07-modern-surgical-oncology-minimally-invasive-and-reconstructive-approaches,2658,7,1,yes,0,no,"Less-invasive (recovery) differs from equivalent-for-the-cancer (survival); oncologic equivalence must be proven per operation (LACC trial).",3
2026-06-08,cancer-research,08-radiation-oncology-principles-and-biology,2687,5,2,yes,0,no,"Radiation damages DNA indiscriminately; selectivity is engineered via fractionation exploiting tumor-vs-normal alpha/beta differences.",1
2026-06-08,cancer-research,09-modern-radiation-therapy-technology-toxicity-and-integration,2728,5,2,yes,0,no,"A better dose distribution (proton Bragg peak) is a proxy; for most adult cancers it has not established better patient outcomes.",3
2026-06-08,cancer-research,10-chemotherapy-principles-and-major-drug-classes,2607,4,2,yes,0,no,"Cytotoxics work because tumor cells carry DNA-repair/apoptosis defects, not merely because they divide fast; dose tied to clearance (Calvert).",0
2026-06-08,cancer-research,11-chemotherapy-pharmacology-resistance-and-toxicity-management,2341,3,1,yes,0,no,"A dose is a property of the drug-in-this-patient (ADME); resistance is multi-mechanism, so single-target reversal (P-gp) failed.",0
